OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
1,GO-2004111878,2004-01-03 05:00:00,2004,January,3,Saturday,3,D53,Other,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.39282836088456,43.68502644145238
2,GO-2004125755,2004-01-08 05:00:00,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North (142),137,Woburn (137),-79.2338520249659,43.78178169646291
3,GO-2004136086,2004-01-08 05:00:00,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East (146),132,Malvern (132),-79.20557418363322,43.810544206016885
4,GO-2004148623,2004-01-25 05:00:00,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.43438732575322,43.6704670208731
5,GO-2004148619,2004-01-25 05:00:00,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights (144),131,Rouge (131),-79.20495811389637,43.822996573235365
6,GO-2004152518,2004-02-20 05:00:00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50860954401533,43.72085664643957
7,GO-2004152518,2004-02-20 05:00:00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50860954401533,43.72085664643957
8,GO-2004172092,2004-02-21 05:00:00,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50897064442438,43.72238194643954
9,GO-2004133635,2004-02-21 05:00:00,2004,February,21,Saturday,52,D23,Other,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59285006484198,43.74312897035097
10,GO-2004301868,2004-03-03 05:00:00,2004,March,3,Wednesday,63,D54,Shooting,058,Old East York (58),058,Old East York (58),-79.32876583459874,43.69593780709113
